,detected_mean,missed_mean
voltage,228.49154212049547,228.3973641047753
current,9.030374329745394,9.073727101697342
temperature,44.0380926316783,37.2709410221237
power,2064.5364751303596,2071.612510671669
voltage_change,-0.1655803035688751,0.1881111917686971
current_change,0.07151105979385437,-0.12480336730090244
temperature_change,0.3940986881672825,-0.1559979767429603
power_change,15.070459743168835,-26.99195594727221
voltage_deviation,-0.1103989927131997,0.07166385690148598
current_deviation,0.048393114553664726,-0.15250808386870618
temperature_deviation,1.073105931569808,0.15686180606837416
power_deviation,10.337755705875978,-34.29116159377761
voltage_deviation_pct,-0.0004404590383972406,0.0003349876630014876
current_deviation_pct,0.007631638798065679,-0.014087457543425417
temperature_deviation_pct,0.026250627283115384,0.005715242117208915
power_deviation_pct,0.007643060065475663,-0.013897195846591368
